Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00159521171763351,2.29923966853244E-18,0.0052310891421384,0,0,0,0.167902477796077,9.76163689204882E-05,3.03295833065713E-21,-7.99280838274572E-08,0.000115012939261665,9.457462825435E-21,0.000192246000897648,0,0,0,0,0,0,package://leader_3215_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/base_link.STL,,base-1;motor_base-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,2.3916E-17,3.7482E-18,0.039565,0,0,0,0.082279,4.4995E-05,-8.06E-22,-3.2611E-21,5.1095E-05,-4.7177E-21,1.5705E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link1.STL,,motor_type_2-1,coordinate1,joint1,joint1,revolute,0,0,0.043,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link2,-0.022701,-8.7951E-18,0.046794,0,0,0,0.086777,4.6229E-05,-1.0545E-21,2.1575E-06,7.3451E-05,-2.9576E-22,3.7568E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link2.STL,,motor_type_1-1,coordinate2,joint2,joint2,revolute,0.02,0,0.067,0,0,0,link1,-1,0,0,0,0,-3.14,3.14,,,,,,,,
link3,1.57529238804371E-17,8.63633502405381E-18,0.0395647200714184,0,0,0,0.0822794237530527,4.49947281899052E-05,-1.28332076361426E-21,-3.58941574618153E-21,5.10951512378572E-05,-9.2668223543666E-22,1.57046209378732E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link3.STL,,motor_type_2-2,coordinate3,joint3,joint3,revolute,-0.02,0,0.079,0,0,0,link2,0,0,1,0,0,-3.14,3.14,,,,,,,,
link4,-0.0227007267613881,-1.93878395395224E-17,0.0467941392257271,0,0,0,0.0867766422544524,4.62289338201927E-05,-1.82687208984123E-21,2.15748553105859E-06,7.34512446639601E-05,1.0476836128437E-21,3.75678504698407E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link4.STL,,motor_type_1-2,coordinate4,joint4,joint4,revolute,0.02,0,0.067,0,0,0,link3,-1,0,0,0,0,-3.14,3.14,,,,,,,,
link5,-1.23766484004277E-18,-5.10079754767734E-18,0.0395647200714185,0,0,0,0.0822794237530527,4.49947281899051E-05,-1.13398189937987E-21,-3.50736109012887E-21,5.10951512378572E-05,3.36866701953339E-21,1.57046209378732E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link5.STL,,motor_type_2-3,coordinate5,joint5,joint5,revolute,-0.02,0,0.079,0,0,0,link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
link6,-0.0227007267613881,-9.74434113803547E-19,0.046794139225727,0,0,0,0.0867766422544524,4.62289338201927E-05,-1.84847611121618E-21,2.15748553105859E-06,7.34512446639601E-05,1.07456460342684E-21,3.75678504698407E-05,0,0,0,0,0,0,package://leader_3215_description/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link6.STL,,motor_type_1-3,coordinate6,joint6,joint6,revolute,0.02,0,0.067,0,0,0,link5,-1,0,0,0,0,-3.14,3.14,,,,,,,,
link7,1.8501E-18,-7.0102E-19,0.019038,0,0,0,0.028571,4.5472E-06,-1.0216E-22,-1.0299E-22,4.5472E-06,-6.8028E-22,4.1285E-06,0,0,0,0,0,0,package://leader_3215_description/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://leader_3215_description/meshes/link7.STL,,end-1,coordinate7,joint7,joint7,revolute,-0.02,0,0.079,0,0,0,link6,0,0,1,0,0,-3.14,3.14,,,,,,,,
