Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.75919318807567E-19,0.0409942367796753,-3.55522513016651E-06,0,0,0,2.25389477631104,0.00466922459360897,1.20415183424488E-19,3.12268591715857E-19,0.0133992461285469,2.40439281764469E-07,0.0118661025979557,0,0,0,0,0,0,package://bp001_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://bp001_description/meshes/base_link.STL,,body-1,coordinate_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_lw,0.0173372551398928,5.759281940243E-16,-2.96686112332856E-16,0,0,0,0.234199193964837,0.00104446027104137,-1.91049732501677E-18,9.88807712839178E-19,0.000548765971685728,2.99522099805411E-19,0.000548765971685726,0,0,0,0,0,0,package://bp001_description/meshes/link_lw.STL,1,1,1,1,0,0,0,0,0,0,package://bp001_description/meshes/link_lw.STL,,wheel-1,coordinate_lw,基准轴1,joint_lw,continuous,0.1146,0.052,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
link_rw,-0.0173372551398928,5.759281940243E-16,3.12622061363609E-16,0,0,0,0.234199193964837,0.00104446027104137,1.9057238767979E-18,9.79559510477831E-19,0.000548765971685728,-2.15782470493603E-19,0.000548765971685725,0,0,0,0,0,0,package://bp001_description/meshes/link_rw.STL,1,1,1,1,0,0,0,0,0,0,package://bp001_description/meshes/link_rw.STL,,wheel-2,coordinate_rw,基准轴1,joint_rw,continuous,-0.1146,0.052,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
